Item Name,Vibe,Budget,Rating,City
Iya Basira's Amala,local,low,4.8,Lagos
Kilimanjaro Restaurant Aminu Kano,casual,low,3.7,Abuja
Seaside restaurant,casual,medium,2.7,Abuja
Calabar Aroma Abuja Restaurant,local,medium,4.3,Abuja
ANATOLIA TURKISH RESTAURANT ABUJA,casual,high,4.4,Abuja
"Puzzo’s Restaurant, Abuja",casual,medium,4.3,Abuja
Kebabs & Kurries Restaurant,luxury,high,4.2,Abuja
Vanilla Restaurant & Lounge,luxury,high,4.2,Abuja
Meraki Restaurant and Lounge,luxury,high,4.4,Abuja
Flames Restaurant,casual,medium,4.2,Abuja
TRANQUILA RESTAURANT,casual,low,4.0,Abuja
Deeja’s Restaurant & Lounge,casual,medium,5.0,Abuja
City Grills Restaurant,casual,medium,4.6,Abuja
Blake Resort,luxury,high,4.3,Abuja
Otega restaurant,local,medium,4.4,Abuja
Citygrills O Spot Restaurant,casual,medium,4.9,Abuja
The Lawn Restaurant,casual,medium,4.3,Abuja
Jevinik Restaurant Garki 2,local,medium,4.1,Abuja
The Pavilion Restaurant,luxury,high,4.2,Abuja
Kashco Restaurant and Cafe,casual,medium,4.8,Abuja
Sarom Restaurant,local,medium,4.4,Lagos
Sweet Sensation Restaurant,casual,low,3.7,Lagos
Ema Restaurant,casual,low,5.0,Lagos
Orchid House Thai Restaurant,casual,medium,4.3,Lagos
Pool Deck Restaurant at Federal Palace Hotel,luxury,high,4.7,Lagos
355 Rooftop Restaurant and Lounge,luxury,high,4.1,Lagos
Coastal Restaurant,casual,medium,4.6,Lagos
Restaurant and Terrace (Lagos Continental),luxury,high,4.8,Lagos
Umutu Restaurant,luxury,high,4.4,Lagos
360 by Vertigo,luxury,high,4.5,Lagos
R.S.V.P Lagos,luxury,high,4.4,Lagos
Ocean Restaurant and Pool Bar,luxury,high,4.2,Lagos
Kaly Restaurant,luxury,high,4.4,Lagos
Gabriels Restaurant,casual,medium,4.4,Lagos
Rye Restaurant,casual,medium,4.4,Lagos
Wilson Restaurant ikoyi,luxury,high,4.7,Lagos
Koi Restaurant & Lounge,luxury,high,4.4,Lagos
Ona Lagos Restaurant Lounge,luxury,high,4.2,Lagos
411 Restaurant & Lounge,casual,medium,4.2,Lagos
RBG Restaurant (Radisson),luxury,high,5.0,Lagos
