Star Rating,Review Text
1,It’s very shameful that as a restaurant you sell stale food. This is super annoying because I had spent all day at the hospital only to purchase from this branch and got home to a stale food. What unhygienic nonsense is this???
1,"The restaurant was quite shabby and dingy, with a broken ceiling. The toilet was unsanitary with water on the floor, no soap, no sanitiser and no toilet tissue. It’s worse than a fast food joint. Visit at your own risk."
1,"I ordered fisherman soup that cost 17k. It said on the menu that it contains prawns, snails, periwinkles... but I only saw catfish and really small snail. This food wasn’t so appealing to cost that much."
1,slow service bad food
1,"My experience at this restaurant was honestly terrible. My sister's phone got missing while we were there, and instead of offering any form of help, the staff completely dismissed us. We were treated like we didn't matter at all."
1,"I won't be coming back here because it's infested with mosquitoes. The food we wanted from the menu wasn't available which was okay, but the waitress was courteous. Food eventually came but wasn't so great."
1,"If you want to have Problems with your heart, sodium problems and cholesterol go to Ona restaurant. The food was extremely salty, salty to the max... I will never go to this restaurant again there price is extremely overrated. 7 shrimps for 75,000 naira no way."
1,Had food poisoning from my experience here. The dinner reservation wasn’t worth it at all
1,This is a terrible restaurant. Do not come here. The staff will treat you badly.
1,I'm very disappointed I asked for jollof rice they say they only have white rice who the hell will go to a restaurant to eat white rice
2,The fisherman soup was terrible and overpriced for what they served. Their pricelist is deceptive. Anyone going there should always ask specific questions before you place an order.
2,The place looks nice but the service is a joke. We waited over an hour just for drinks. The AC wasn't even working properly. Two stars only because the security guard was polite.
2,Very overpriced for basic food. The portion sizes are incredibly small. I paid 15k for a plate of pasta that looked like a starter. Not coming back.
2,"Food was cold when it arrived. When I complained, the waiter just hissed and walked away. Poor customer service ruins the whole experience."
2,"Ambiance is good for pictures, but don't bother eating here. The chicken was tough and lacked seasoning. Too much hype on Instagram for mid food."
2,"Traffic to get here was crazy, only to be told half the menu is unavailable. We settled for fried rice and it was soggy. Needs serious improvement."
2,"I ordered delivery and they forgot to pack my drinks. Called the restaurant and they stopped picking up. The food itself was just okay, nothing special."
2,They charge luxury prices but give you buka-level service. The tables weren't wiped properly and the music was way too loud to even have a conversation.
2,Meat was practically unchewable. I complained to the manager and got no apology. Giving 2 stars because at least the mocktails were decent.
2,Extremely disappointed. The suya had too much salt and the fries were soaked in oil. Not worth the money or the hype.
3,The food experience wasn't special...
3,Don’t get coffee it was terrible. Limited choices in bottle water
3,Same old jevinik. Not much of a difference...ambience can be upgraded though.
3,This is a place where people from Northern Nigeria can get local meals common to them and at affordable prices.
3,Local delicacies!
3,It's OK
3,Average
3,Cool place to visit
3,"The food is lovely but for a first time visit, the service was a let down, apart from the efforts of the owners. The waiting staff were generally not cheerful..."
3,Great food and brilliant waiters.
4,Good meals. Average customer service. Great location. Decent variety of meals. Customer service can be slow sometimes.
4,They had good food and ambience🔥🔥
4,It's a decent restaurant with decent services. Their food is great compared to other restaurants and you'll find good customer services. I highly recommend.
4,Their meals taste exceptionally delicious
4,"Be prepared for a complimentary tea as you make your order. The meals are simply superb, I would strongly recommend you try the ‘Humus and Meat’."
4,"Nice place, great atmosphere and very clean."
4,"Reinvigorated and quite affordable. Good events good Serenade as its called, pleasant staff too."
4,"The food is always on par. Their meat options need more spices, especially for an African tongue. I like the casual atmosphere with cool music playing..."
4,Good food and pretty decent ambience.
4,"The ambience of this place is to die for, a must visit place perfect for brunch and lunch, service is good and the food was also great."
5,Absolute banger! I love their food I won't lie... nice ambience
5,Excellent! The best seafood okra in abuja
5,I have visited a lot of restaurants in Abuja but there’s non as good as KASHCO they service and treatment is top notch👍🏻✅ best place to visit for relaxation and work.
5,"I had an unforgettable experience at this restaurant, the service was top notch while the food takes minutes to prepare but it was worth the wait. To top the experience they made my friends birthday special with a surprise cake."
5,The live band was awesome! So much fun. We had an amazing time. Will definitely recommend a must visit in Abuja
5,A modern and classy restaurant. Great ambience and clean lawn with a great shisha.
5,Delicious grilled whole fish at a very reasonable price.
5,"Best sushi so far. I also like the shrimp dynamite, a must try. Conducive environment and kids friendly."
5,"My last experience at City Grills O' Spots was extremely exceptional. I loved every bit of their food, services and atmosphere."
5,"The food is tasty, the ambience is great, great customer service and the food quantity is great"
